ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
" ""S0188-88972015000200239-mex""","Riqueza de moluscos acuáticos en las Cuencas Hidrológicas Río Grijalva-Villahermosa y Río Tonalá, Lagunas del Carmen-Machona en Tabasco, México","Mellado Hernández, Sujeidy Vianey, Rangel Ruíz, Luis José, Gamboa Aguilar, Jaquelina, Arévalo de la Cruz, Juan Armando, Montiel Moreno, Joel, García Morales, Miguelina, Arias García, Silvia, Padrón López, Rosa Martha, Pacheco Figueroa, Coral Jazvel, Gama Campillo, Lilia",Hidrobiológica; 25(2); 239-247,Hidrobiológica,Espanhol,2015,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972015000200239&lang=pt 
S0185-38802008000300004-mex,"Efectos de la exposición al arsénico en Corbicula fluminea: Evaluación de las respuestas histológicas, histoquímicas y bioquímicas","Diniz, MS, Santos, HM, Costa, PM, Peres, I, Costa, MH, Alves, S, Capelo-Martinez, JL",Ciencias marinas; 34(3); 307-316,Ciencias marinas,Espanhol,2008,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-38802008000300004&lang=pt 
S0188-88972017000100115-mex,Reconstrucción filogenética de Sphaeriidae (Veneroida: Bivalvia) y la posición filogenética de Pisidium chilense,"Fuentealba-Jara, Carmen, D’Elia, Guillermo, González, Fidelina, Franco-Jaccard, Cristian",Hidrobiológica; 27(1); 115-117,Hidrobiológica,Espanhol,2017,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972017000100115&lang=pt 
S1870-34532017000200450-mex,"Nuevos registros de la almeja asiática invasora Corbicula fluminea (Bivalvia: Veneroida: Cyrenidae) en humedales de las cuencas Papaloapan, Grijalva y Usumacinta","Barba-Macías, Everardo, Trinidad-Ocaña, Cinthia",Revista mexicana de biodiversidad; 88(2); 450-453,Revista mexicana de biodiversidad,Espanhol,2017,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532017000200450&lang=pt 
S0188-88972016000300419-mex,"Macroinvertebrados bentónicos de dos lagos tropicales de alta montaña en el volcán Nevado de Toluca, en la región central de México","Oseguera, Luis A., Alcocer, Javier, Escobar, Elva",Hidrobiológica; 26(3); 419-432,Hidrobiológica,Espanhol,2016,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972016000300419&lang=pt 
S1870-74592019000200108-mex,¿Amenaza un bivalvo exótico al rascón picudo en Baja California?,"Moreno-Higareda, Hiram Rafael, Campos, Ernesto, Cueva, Horacio de la, García-Zárate, Marco A., Martínez-Ríos Del Río, Laura",Huitzil; 20(2); -,Huitzil,Espanhol,2019,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-74592019000200108&lang=pt 
S0717-65382019000100021-chl,"Time lapse photography with two different camera systems for in situ observation of the bivalve Diplodon chilensis (Gray, 1828) in a southern Chilean lake","Kohlberg, Gesche, Herbst, Anne, Niedzwiedz, Gerd, Woelfl, Stefan, Nimptsch, Jorge, Schories, Dirk",Gayana (Concepción); 83(1); 21-32,Gayana (Concepción),Inglês,2019,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382019000100021&lang=pt 
S1659-42662017000100039-cri,"Taxonomic position and glochidia from the freshwater mussel, Anodonta luteola (Unionoida: Unionidae), in Costa Rica","Cruz, Rafael A., Quesada, Rebeca",Cuadernos de Investigación UNED; 9(1); 39-43,Cuadernos de Investigación UNED,Inglês,2017,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42662017000100039&lang=pt 
S1726-22162018000200003-per,Invertebrados bentónicos como bioindicadores de calidad de agua en lagunas Altoandinas del Perú,"Tapia, Liliana, Sánchez, Tito, Baylón, Maribel, Jara, Enoc, Arteaga, Caren, Maceda, Diego, Salvatierra, Alan",Ecología Aplicada; 17(2); 149-163,Ecología Aplicada,Espanhol,2018,http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-22162018000200003&lang=pt 
S0034-77442016000200747-cri,Patrones espaciales en comunidades de macroinvertebrados acuáticos de la Puna Argentina,"Nieto, Carolina, Malizia, Agustina, Carilla, Julieta, Izquierdo, Andrea, Rodríguez, José, Cuello, Soledad, Zannier, Martín, Grau, H. Ricardo",Revista de Biología Tropical; 64(2); 747-762,Revista de Biología Tropical,Espanhol,2016,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442016000200747&lang=pt 
S1025-02552007000200008-cub,"PRESENCIA Y DISTRIBUCIÓN DE CORBICULA FLUMINEA (MÜLLER, 1774) (BIVALVIA: CORBICULIDAE) EN CAMAGÜEY, UN PROBABLE COMPETIDOR DE MOLUSCOS DE INTERÉS SANITARIO","Diéguez Fernández, Lorenzo, Rodríguez de la Vega, Ricardo, Vázquez Capote, Raisa, Cruz Pineda, Carlos Alberto",Revista Archivo Médico de Camagüey; 11(2); -,Revista Archivo Médico de Camagüey,Espanhol,2007,http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552007000200008&lang=pt 
S1676-06032021000300206-scl,Limnoperna fortunei - Updating the geographic distribution in the Brazilian watersheds and mapping the regional occurrence in the Upper Uruguay River basin,"Hermes-Silva, Samara, Ribolli, Josiane, Ávila-Simas, Sunshine de, Zaniboni-Filho, Evoy, Cardoso, Grasiela Fagundes Minatto, Nuñer, Alex Pires de Oliveira",Biota Neotropica; 21(3); -,Biota Neotropica,Inglês,2021,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032021000300206&lang=pt 
S0717-65382009000100008-chl,"REGISTRO ACTUAL DE ESPECIES DEL GENERO MUSCULIUM LINK, 1807 (BIVALVIA: SPHAERIIDAE) EN CHILE CON NOTAS SOBRE MORFOLOGIA Y BIOMETRIA DE SUS POBLACIONES","Parada, Esperanza, Peredo, Santiago, Jara-Seguel, Pedro",Gayana (Concepción); 73(1); 49-56,Gayana (Concepción),Espanhol,2009,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382009000100008&lang=pt 
S1667-782X2002000100005-arg,"Características poblacionales y ciclo de vida de Diplodon chilensis (d&#039;Orbigny, 1835) (Hyriidae, Bivalvia) en el lago Gutiérrez (Patagonia, Argentina)","Semenas, Liliana, Brugni, Norma",Ecología austral; 12(1); 29-40,Ecología austral,Espanhol,2002,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1667-782X2002000100005&lang=pt 
S0717-65382010000200005-chl,Variabilidad genética local del bivalvo dulceacuícola Diplodon chilensis (Gray 1828) proveniente de tres lagos Nahuelbutanos,"Fuentealba, Carmen, Figueroa, Ricardo, González, Fidelina, Palma, Mario",Gayana (Concepción); 74(2); 113-124,Gayana (Concepción),Espanhol,2010,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382010000200005&lang=pt 
S0717-65382007000200001-chl,ESTANDARIZACION DEL BIOENSAYO DE TOXICIDAD AGUAD CON DIPLODON CHILENSIS USANDO UN TOXICO DE REFERENCIA,"Silva, Jeannette, Fuentealba, Carmen, Bay-Schmith, Enrique, Larrain, Alberto",Gayana (Concepción); 71(2); 135-141,Gayana (Concepción),Espanhol,2007,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382007000200001&lang=pt 
S0717-65382007000200013-chl,"EXTENTION OF THE CURRENT NORTHERN DISTRIBUTION RANGE OF FRESHWATER MUSSEL Diplodon chilensis (GRAY, 1828) (BIVALVIA:HYRIIDAE) IN CHILE","Parada, Esperanza, Peredo, Santiago, Valenzuela, José, Manuschevich, Daniela",Gayana (Concepción); 71(2); 212-215,Gayana (Concepción),Inglês,2007,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382007000200013&lang=pt 
S0718-19572008000100001-chl,Una revisión de la asimetría bilateral en bivalvos,"Briones, Carolina, Guiñez, Ricardo",Revista de biología marina y oceanografía; 43(1); 1-6,Revista de biología marina y oceanografía,Espanhol,2008,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572008000100001&lang=pt 
S0717-65382008000200008-chl,"ANTECEDENTES ARQUEOLÓGICOS DEL GENERO DIPLODON (SPIX, 1827) (BIVALVIA, HYRIIDAE) EN CHILE","Jackson, Donald, Jackson, Douglas",Gayana (Concepción); 72(2); 188-195,Gayana (Concepción),Espanhol,2008,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382008000200008&lang=pt 
S0717-65382008000200014-chl,DIPLODON PATAGONICUS (BIVALVIA: HYRIIDAE): TO BE OR NOT TO BE,"Parada, Esperanza, Peredo, Santiago",Gayana (Concepción); 72(2); 266-267,Gayana (Concepción),Inglês,2008,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382008000200014&lang=pt 
S1816-79502008000500012-sza,"Distribution of the pill clam Pisidium langleyanum Melvill &amp; Ponsonby, 1891 (Bivalvia: Sphaeriidae) in South Africa","Kock, KN de, Wolmarans, CT",Water SA; 34(5); 623-630,Water SA,Inglês,2008,http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502008000500012&lang=pt 
S0717-65382006000100013-chl,Estado de conocimiento de los Bivalvos dulceacuícolas de Chile,"Parada, Esperanza, Peredo, Santiago",Gayana (Concepción); 70(1); 82-87,Gayana (Concepción),Espanhol,2006,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382006000100013&lang=pt 
S0034-77442008000100006-cri,Malacología Latinoamericana: Moluscos de agua dulce de Argentina,"Rumi, Alejandra, Gutiérrez Gregoric, Diego E, Núñez, Verónica, Darrigran, Gustavo A",Revista de Biología Tropical; 56(1); 77-111,Revista de Biología Tropical,Espanhol,2008,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442008000100006&lang=pt 
S0034-77442001000300004-cri,"Occurrence and Distribution of Fresh-Water Molluscs in the Riacho Fundo Creek Basin, Brasilia, Brazil","Maria Júlia, Martins-Silva, Barros, Marilia",Revista de Biología Tropical; 49(3-4); 865-870,Revista de Biología Tropical,Inglês,2001,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442001000300004&lang=pt 
S0717-65382010000100009-chl,Microestructura y polimorfismo en valvas recientes de Diplodon chilensis patagonicus (d’Orbigny 1835),"Soldati, Analía L, Jacob, Dorrit E, Bianchi, María M, Hajduk, Adán",Gayana (Concepción); 74(1); 57-65,Gayana (Concepción),Espanhol,2010,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382010000100009&lang=pt 
S1870-34532007000200007-mex,"First records of freshwater molluscs from the ecological reserve El Edén, Quintana Roo, México","Cózatl-Manzano, Roberto, Naranjo-García, Edna",Revista mexicana de biodiversidad; 78(2); 303-310,Revista mexicana de biodiversidad,Inglês,2007,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532007000200007&lang=pt 
S0717-65382008000100007-chl,"MANTENCION DEL PATRON DE DISTRIBUCION ESPACIAL, DENSIDAD Y ESTRUCTURA DE TAMAÑOS DE LA ALMEJA DE AGUA DULCE Diplodon chilensis GRAY, 1828 (BIVALVIA: HYRIIDAE) EN EL LAGO PANGUIPULLI, CHILE","Lara, Gladys, Parada, Esperanza",Gayana (Concepción); 72(1); 45-51,Gayana (Concepción),Espanhol,2008,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382008000100007&lang=pt 
S0717-65382008000100009-chl,"DIPLODON CHILENSIS gray, 1828 (BIVALVIA: HYRIIDAE) A POTENTIAL RESIDUAL WATERS DEPURATOR ON INLAND WATER SALMONID FISH-FARMS: A LABORATORY SCALE STUDY","Parada, Esperanza, Peredo, Santiago, Cárdenas, Silvia, Valdebenito, Iván, Peredo, Matías",Gayana (Concepción); 72(1); 68-78,Gayana (Concepción),Inglês,2008,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382008000100009&lang=pt 
S0718-19572008000300012-chl,"Caracterización metabólica de Diplodon chilensis (Gray, 1828) (Bivalvia: Hyriidae) expuesto a anoxia experimental","Grandón, Maritza A, Barros, Javier A, González, Rodrigo R",Revista de biología marina y oceanografía; 43(3); 531-537,Revista de biología marina y oceanografía,Espanhol,2008,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572008000300012&lang=pt 
S0716-078X2008000100004-chl,Short-term feeding response of the mussel Mytilus chilensis exposed to diets containing the toxic dinoflagellate Alexandrium catenella,"NAVARRO, JORGE M, CONTRERAS, ANDREA M, CHAPARRO, ÓSCAR R",Revista chilena de historia natural; 81(1); 41-49,Revista chilena de historia natural,Inglês,2008,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2008000100004&lang=pt 
S0717-65382005000100007-chl,"LA RELOCALIZACION COMO UNA HERRAMIENTA DE CONSERVACION Y MANEJO DE LA BIODIVERSIDAD: LECCIONES APRENDIDAS CON DIPLODON CHILENSIS (GRAY 1828) (BIVALVIA, HYRIIDAE)","Parada, Esperanza, Peredo, Santiago",Gayana (Concepción); 69(1); 41-47,Gayana (Concepción),Espanhol,2005,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382005000100007&lang=pt 
S0717-65382005000100006-chl,"REGISTRO DE POLIPLOIDIA EN LA ALMEJA DULCEACUICOLA MUSCULIUM ARGENTINUM (D&#039;ORBIGNY 1835) (SPHAERIIDAE, VENEROIDA)","Jara-Seguel, Pedro, Peredo, Santiago, Parada, Esperanza",Gayana (Concepción); 69(1); 36-40,Gayana (Concepción),Espanhol,2005,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382005000100006&lang=pt 
S0327-95452011000200004-arg,Assessment of gonadal follicle size in the invading bivalve Limnoperna fortunei (Mytilidae),"Guimarey, Pilar, Darrigran, Gustavo, Damborenea, Cristina, Penchaszadeh, Pablo E.",Biocell; 35(2); 59-62,Biocell,Inglês,2011,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452011000200004&lang=pt 
S0034-89101991000300003-spa,Moluscos límnicos de uma área do Alto Araguaia (Brasil),"Teles, Horácio Manuel Santana, Leite, Renata Piva Almeida, Rodrigues, Francisco Luiz",Revista de Saúde Pública; 25(3); 179-183,Revista de Saúde Pública,Português,1991,http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101991000300003&lang=pt 
S0717-65382002000100006-chl,PRIMER REGISTRO DE MUSCULIUM ARGENTINUM (D&#039;ORBIGNY 1835) (BIVALVIA: SPHAERIIDAE) EN AGUAS CONTINENTALES CHILENAS,"Sobarzo, Cristián, Jara-Segue, Pedro, Peredo, Santiago, Parada, Esperanza",Gayana (Concepción); 66(1); 39-43,Gayana (Concepción),Espanhol,2002,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382002000100006&lang=pt 
S0717-65382002000200005-chl,LA ALMEJA DE AGUA DULCE DIPLODON CHILENSIS (BIVALVIA:HYRIIDAE) POTENCIAL BIOFILTRO PARA DISMINUIR LOS NIVELES DE COLIFORMES EN POZOS: EXPERIMENTO DE LABORATORIO,"Lara, Gladys, Contreras, Angel, Encina, Francisco",Gayana (Concepción); 66(2); 113-118,Gayana (Concepción),Espanhol,2002,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382002000200005&lang=pt 
S0717-65382002000200004-chl,ALIMENTACION Y CONDUCTA ALIMENTARIA DE LA ALMEJA DE AGUA DULCE DIPLODON CHILENSIS (BIVALVIA: HYRIIDAE),"Lara, Gladys, Parada, Esperanza, Peredo, Santiago",Gayana (Concepción); 66(2); 107-112,Gayana (Concepción),Espanhol,2002,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382002000200004&lang=pt 
S0716-078X2002000400005-chl,Estado actual de la taxonomía de bivalvos dulceacuícolas chilenos: progresos y conflictos,"PARADA, ESPERANZA, PEREDO, SANTIAGO",Revista chilena de historia natural; 75(4); 691-701,Revista chilena de historia natural,Espanhol,2002,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2002000400005&lang=pt 
S0717-65382000000200008-chl,QUANTITATIVE KARYOTYPE OF DIPLODON CHILENSIS (GRAY 1828) (BIVALVIA:HYRIIDAE),"Jara-Seguel, Pedro, Peredo, Santiago, Palma-Rojas, Claudio, Parada, Esperanza, Lara, Gladys",Gayana (Concepción); 64(2); 189-193,Gayana (Concepción),Inglês,2000,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382000000200008&lang=pt 
S0074-02762002000300029-scl,"The Histopathology of the Infection of Tilapia rendalli and Hypostomus regani (Osteichthyes) by Lasidium Larvae of Anodontites trapesialis (Mollusca, Bivalvia)","Silva-Souza, Ângela Teresa, Eiras, Jorge C",Memórias do Instituto Oswaldo Cruz; 97(3); 431-433,Memórias do Instituto Oswaldo Cruz,Inglês,2002,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762002000300029&lang=pt 
S1516-89132001000100014-scl,"Diet of Iheringichthys labrosus (Pimelodidae, Siluriformes) in the Itaipu Reservoir, Paraná River, Brazil-Paraguay","Abes, Sara da Silva, Agostinho, Angelo Antonio, Okada, Edson Kiyoshi, Gomes, Luiz Carlos",Brazilian Archives of Biology and Technology; 44(1); 101-105,Brazilian Archives of Biology and Technology,Inglês,2001,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132001000100014&lang=pt 
S0034-71082001000200006-scl,"Biodiversity assessment of benthic macroinvertebrates in altitudinal lotic ecosystems of Serra do Cipó (MG, Brazil)","GALDEAN, N., CALLISTO, M., BARBOSA, F. A. R.",Revista Brasileira de Biologia; 61(2); 239-248,Revista Brasileira de Biologia,Inglês,2001,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71082001000200006&lang=pt 
S0101-81752007000300033-scl,"Gametogênese e dinâmica da reprodução de Anodontites trapesialis (Lamarck) (Unionoida, Mycetopodidae) no lago Baía do Poço, planície de inundação do rio Cuiabá, Mato Grosso, Brasil","Callil, Cláudia T., Mansur, Maria C. D.",Revista Brasileira de Zoologia; 24(3); 825-840,Revista Brasileira de Zoologia,Português,2007,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752007000300033&lang=pt 
S1516-89132007000100010-scl,"Caloric variability of Corbicula fluminea (Mollusca, Bivalvia) in Rosana Reservoir, Brazil","Bagatini, Yara Moretto, Benedito-Cecilio, Evanilde, Higuti, Janet",Brazilian Archives of Biology and Technology; 50(1); 85-90,Brazilian Archives of Biology and Technology,Inglês,2007,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000100010&lang=pt 
S0101-81752008000100015-scl,"Triplodon chodo, a new species of pearly fresh water mussel from the Amazon Basin (Mollusca: Bivalvia: Unionoida: Hyriidae)","Mansur, Maria C. D., Pimpão, Daniel M.",Revista Brasileira de Zoologia; 25(1); 111-115,Revista Brasileira de Zoologia,Inglês,2008,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752008000100015&lang=pt 
S1516-89132008000300023-scl,"Seasonal variation in larval density of Limnoperna fortunei (Bivalvia, Mytilidae) in the Iguaçu and Paraná rivers, in the region of Foz do Iguaçu, Paraná, Southern Brazil","Pestana, Débora, Pie, Marcio Roberto, Ostrensky, Antonio, Boeger, Walter Antonio, Andreoli, Cleverson, Franceschi, Francisco, Lagos, Patrícia",Brazilian Archives of Biology and Technology; 51(3); 607-612,Brazilian Archives of Biology and Technology,Inglês,2008,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132008000300023&lang=pt 
S1415-47572008000300026-scl,"First genotoxicity study of Paraná river water from Argentina using cells from the clam Corbicula fluminea (Veneroida Corbiculidae) and Chinese hamster (Cricetulus griseus Rodentia, Cricetidae) K1 cells in the comet assay","Caffetti, Jacqueline D., Mantovani, Mário S., Pastori, María C., Fenocchio, Alberto S.",Genetics and Molecular Biology; 31(2); 561-565,Genetics and Molecular Biology,Inglês,2008,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572008000300026&lang=pt 
S1516-89132003000400022-scl,"Biomonitoring of Pb and Cd in two impacted watersheds in Southeast Brazil, using the freshwater mussel Anodontites trapesialis (Lamarck, 1819) (Bivalvia : Mycetopodidae) as a biological monitor","Tomazelli, Andréa C., Martinelli, Luiz A., Avelar, Wagner E. P., Camargo, Plínio B. de, Fostier, Anne-Helene, Ferraz, Epaminondas S. B., Krug, Francisco J., Santos Júnior, Dário",Brazilian Archives of Biology and Technology; 46(4); 673-684,Brazilian Archives of Biology and Technology,Inglês,2003,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400022&lang=pt 
S1519-69842008000500009-scl,Benthic macroinvertebrates in the Paranapanema reservoir cascade (southeast Brazil),"Jorcin, A., Nogueira, MG.",Brazilian Journal of Biology; 68(4); 1013-1024,Brazilian Journal of Biology,Inglês,2008,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000500009&lang=pt 
S0101-81752008000300002-scl,"Variações no comprimento dos indivíduos de uma população do mexilhão dourado, Limnoperna fortunei (Mollusca: Bivalvia: Mytilidae), ao longo do ano, na Praia do Veludo, Lago Guaíba, Rio Grande do Sul, Brasil","Santos, Cintia P. dos, Mansur, Maria Cristina D., Würdig, Norma L.",Revista Brasileira de Zoologia; 25(3); 384-396,Revista Brasileira de Zoologia,Português,2008,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752008000300002&lang=pt 
S0044-59672008000300026-scl,"Ocorrência do molusco asiático Corbicula fluminea (Müller, 1774) (Bivalvia, Corbiculidae) no baixo rio Negro, Amazônia central","Pimpão, Daniel Mansur, Martins, Demetrius da Silva",Acta Amazonica; 38(3); 589-591,Acta Amazonica,Português,2008,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672008000300026&lang=pt 
S1516-89132009000100018-scl,"The effect of temperature and body size on filtration rates of Limnoperna fortunei (Bivalvia, Mytilidae) under laboratory conditions","Pestana, Débora, Ostrensky, Antonio, Boeger, Walter Antonio Pereira, Pie, Marcio Roberto",Brazilian Archives of Biology and Technology; 52(1); 135-144,Brazilian Archives of Biology and Technology,Inglês,2009,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132009000100018&lang=pt 
S1519-69842009000500021-scl,"The anatomy and functional morphology of Diplodon rhombeus fontainianus (Orbigny, 1835) (Mollusca Bivalvia, Hyriidae)","Avelar, WEP., Cunha, AD.",Brazilian Journal of Biology; 69(4); 1153-1163,Brazilian Journal of Biology,Inglês,2009,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842009000500021&lang=pt 
S1676-06032009000300032-scl,"Chave pictórica para identificação dos bivalves do baixo Rio Aripuanã, Amazonas, Brasil (Sphaeriidae, Hyriidae e Mycetopodidae)","Pimpão, Daniel Mansur, Mansur, Maria Cristina Dreher",Biota Neotropica; 9(3); 377-384,Biota Neotropica,Português,2009,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000300032&lang=pt 
S1676-06032009000300037-scl,"Modelo preditivo de sobrevivência do Mexilhão Dourado (Limnoperna fortunei) em relação a variações de salinidade na Laguna dos Patos, RS, Brasil","Barbosa, Fabiana Gonçalves, Melo, Adriano Sanches",Biota Neotropica; 9(3); 407-412,Biota Neotropica,Português,2009,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000300037&lang=pt 
S0100-40422008000200005-scl,"Organochlorine pesticides in Piracicaba river basin (São Paulo/Brazil): a survey of sediment, bivalve and fish","Silva, Daniela Mariano Lopes da, Camargo, Plínio Barbosa de, Martinelli, Luiz Antonio, Lanças, Fernando Mauro, Pinto, Jair S. S., Avelar, Wagner E. Paiva",Química Nova; 31(2); 214-219,Química Nova,Inglês,2008,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422008000200005&lang=pt 
S0073-47212009000400001-scl,"Freshwater sponges (Porifera, Demospongiae) in a benthic filter feeding community at the Guanacaste Dry Forest, Costa Rica","Volkmer-Ribeiro, Cecilia, Machado, Vanessa de S",Iheringia. Série Zoologia; 99(4); 335-344,Iheringia. Série Zoologia,Inglês,2009,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212009000400001&lang=pt 
S1519-69842009000100003-scl,"Spatial and temporal distribution of the zoobenthos community during the filling up period of Porto Primavera Reservoir (Paraná River, Brazil)","Jorcin, A., Nogueira, MG., Belmont, R.",Brazilian Journal of Biology; 69(1); 19-29,Brazilian Journal of Biology,Inglês,2009,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842009000100003&lang=pt 
S0101-81751999000600019-scl,"Gloquídio de Diplodon martensi (lhering) (Mollusca, Bivalvia, Hyriidae) e seu ciclo parasitário","Mansur, Maria Cristina Dreher",Revista Brasileira de Zoologia; 16(); 185-194,Revista Brasileira de Zoologia,Português,1999,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000600019&lang=pt 
S0101-81752001000100002-scl,"Distribuição sazonal e reprodução de Neocorbicula limosa (Maton) (Bivalvia, Corbiculidae) no Lago Guaíba, Rio Grande do Sul, Brasil","Focht, Teimo, Veitenheimer-Mendes, Inga L.",Revista Brasileira de Zoologia; 18(1); 35-43,Revista Brasileira de Zoologia,Português,2001,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752001000100002&lang=pt 
S0100-84042009000100004-scl,"Diatomáceas sobre Limnoperna fortunei (Dunker), molusco introduzido no Lago Guaíba, Sul do Brasil","Torgan, Lezilda Carvalho, Salomoni, Saionara Eliane, Bicca, Aline Brugalli",Brazilian Journal of Botany; 32(1); 23-31,Brazilian Journal of Botany,Português,2009,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000100004&lang=pt 
S0074-02761989000800010-scl,"Espécie nova de Mytilopsis Conrad, 1857, do rio Tocantins, Tucuruí, Pará, Brasil: (Mollusca, Bivalvia, Dreissenidae)","Alvarenga, Luiz Carlos de Figueiredo, Ricci, Célia Neli",Memórias do Instituto Oswaldo Cruz; 84(); 27-33,Memórias do Instituto Oswaldo Cruz,Português,1989,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761989000800010&lang=pt 
S0101-81751989000300010-scl,"Contribuição à conquiliometria de Neocorbicula limosa (Maton, 1811) (Bivalvia, Corbiculidae)","Garces, Liana Mercedes Maria Pares, Mansur, Maria Cristina Dreher, Thomé, José Willibaldo",Revista Brasileira de Zoologia; 6(3); 507-516,Revista Brasileira de Zoologia,Português,1989,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751989000300010&lang=pt 
